순위,노래제목,가수,좋아요1,좋아요2
1,넘쳐흘러,엠씨더맥스,74239,65653
2,벌써 12시,청하,68182,59596
3,띵 (Prod. By 기리보이),"Jvcki Wai, 영비 (Young B), Osshun Gum, 한요한",40735,32149
4,180도,벤,116768,108182
5,신용재,하은 (라코스테남),79062,70476
6,SOLO,제니 (JENNIE),158269,149683
7,MILLIONS,WINNER,98787,90201
8,아낙네,MINO (송민호),140155,131569
9,너를 만나,폴킴,158102,149516
10,Love Shot,EXO,119783,111197
11,YES or YES,TWICE (트와이스),114819,106233
12,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,233176,224590
13,내 생에 아름다운,케이윌,89365,80779
14,Tempo,EXO,167372,158786
15,너도 그냥 날 놓아주면 돼,윤건,37363,28777
16,아름답고도 아프구나,비투비,120098,111512
17,첫눈에,헤이즈 (Heize),49397,40811
18,해야 (Sunrise),여자친구 (GFRIEND),22411,13825
19,IDOL,방탄소년단,213132,204546
20,가을 타나 봐,바이브,112173,103587
21,흔한 이별,허각,36504,27918
22,삐삐,아이유,203615,195029
23,%%(응응),Apink (에이핑크),22960,14374
24,고백,양다일,97535,88949
25,이별하러 가는 길,임한별,70177,61591
26,"thank u, next",Ariana Grande,81257,72671
27,Way Back Home,숀 (SHAUN),249306,240720
28,봄바람,Wanna One (워너원),125005,116419
29,열애중,벤,148121,139535
30,하루도 그대를 사랑하지 않은 적이 없었다,임창정,135921,127335
31,사계 (하루살이),엠씨더맥스,20067,11481
32,FAKE LOVE,방탄소년단,268661,260075
33,트라우마 (Trauma),EXO,66565,57979
34,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, Kid Milli, 루피(Loopy)",120105,111519
35,Wait,EXO,67393,58807
36,Gravity,EXO,95733,87147
37,너 없인 안 된다,비투비,150062,141476
38,닿은 순간 (Ooh La La La),EXO,93119,84533
39,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),78898,70312
40,봄날,방탄소년단,377344,368758
41,그리워하다,비투비,218773,210187
42,지나오다,닐로 (Nilo),191984,183398
43,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,20417,11831
44,습관 (Bad Habits),숀 (SHAUN),17112,8526
45,알았다면,장덕철,20419,11833
46,24/7,EXO,91750,83164
47,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202766,194180
48,Sign,EXO,89993,81407
49,I`m Fine,방탄소년단,157063,148477
50,여기 있을게 (Smile On My Face),EXO,87003,78417
51,너는 어땠을까,노을,37088,28502
52,Damage,EXO,83559,74973
53,사이렌 (Siren),선미,109973,101387
54,DNA,방탄소년단,334731,326145
55,가끔 (With You),EXO,84758,76172
56,We all lie,하진,34942,26356
57,Universe,EXO,185703,177117
58,미안해,양다일,141993,133407
59,오아시스 (Oasis),EXO,86546,77960
60,flex (Prod. By 기리보이),"기리보이, Kid Milli, NO:EL, 스윙스",106562,97976
61,후폭풍 (Bad Dream),EXO,83486,74900
62,헤어지는 중,펀치 (Punch),97971,89385
63,Dance The Night Away,TWICE (트와이스),138546,129960
64,Bohemian Rhapsody (2011 Remaster),Queen,88170,79584
65,밤편지,아이유,303746,295160
66,행복,오반 (OVAN),42708,34122
67,우리 그만하자,로이킴,121544,112958
68,Euphoria,방탄소년단,150703,142117
69,이별길 (GOODBYE ROAD),iKON,84232,75646
70,비,폴킴,182991,174405
71,시간이 들겠지 (Feat. Colde),로꼬,96401,87815
72,"19금
IndiGO","저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)",89363,80777
73,Answer : Love Myself,방탄소년단,130515,121929
74,가을 안부,먼데이 키즈 (Monday Kiz),126028,117442
75,에너제틱 (Energetic),Wanna One (워너원),286593,278007
76,Wind flower,마마무(Mamamoo),48772,40186
77,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191434,182848
78,그때 헤어지면 돼,로이킴,191442,182856
79,동화 (feat. 아이유),김동률,54923,46337
80,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),8586,0
81,Beautiful,Wanna One (워너원),235106,226520
82,사랑을 했다 (LOVE SCENARIO),iKON,278908,270322
83,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74236,65650
84,꿈처럼 내린,다비치,37688,29102
85,BOOMERANG (부메랑),Wanna One (워너원),144032,135446
86,그때가 좋았어,케이시 (Kassy),14304,5718
87,그 남자를 떠나,god,13554,4968
88,켜줘 (Light),Wanna One (워너원),133339,124753
89,Epiphany,방탄소년단,119477,110891
90,Anpanman,방탄소년단,148946,140360
91,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81316,72730
92,불꽃놀이 (Flowerbomb),Wanna One (워너원),72300,63714
93,YA,이민혁 (HUTA),14468,5882
94,술래,Wanna One (워너원),69454,60868
95,집,Wanna One (워너원),71778,63192
96,I`M OK,iKON,23461,14875
97,묻고싶다 (One Love),Wanna One (워너원),66890,58304
98,Trivia 轉 : Seesaw,방탄소년단,113947,105361
99,RBB (Really Bad Boy),Red Velvet (레드벨벳),55124,46538
100,사랑은 다 이러니,홍진영,11296,2710
총계,,,11322649,10464049
